,totalUnder,totalOverOdds,awayTeamRunLine,totalUnderOdds,awayTeamRunLineOdds,awayTeamMLOdds,homeTeamRunLine,homeTeamRunLineOdds,homeTeamMLOdds,totalOver,house,game,date
0,7.5,-115,-1.5,-105,+145,-120,+1.5,-175,even,7.5,espnbet,PHI@NYM,20240513
0,7.5,-114,-1.5,-106,+148,-117,+1.5,-180,even,7.5,betrivers,PHI@NYM,20240513
0,7.5,-115,-1.5,-105,+145,-115,+1.5,-175,-105,7.5,draftkings,PHI@NYM,20240513
0,8.5,even,+1.5,-120,-165,+120,-1.5,+140,-145,8.5,betmgm,PIT@MIL,20240513
0,8,-122,+1.5,-100,-176,+122,-1.5,+146,-144,8,fanduel,PIT@MIL,20240513
0,8.5,even,+1.5,-120,-175,+120,-1.5,+140,-145,8.5,hardrock,PIT@MIL,20240513
0,8.5,even,+1.5,-120,-175,+125,-1.5,+145,-145,8.5,espnbet,PIT@MIL,20240513
0,8,-117,+1.5,-104,-182,+120,-1.5,+148,-141,8,betrivers,PIT@MIL,20240513
0,8.5,-102,+1.5,-118,-180,+120,-1.5,+150,-142,8.5,draftkings,PIT@MIL,20240513
0,8.5,-110,-1.5,-110,+150,-110,+1.5,-185,-110,8.5,betmgm,STL@LAA,20240513
0,8.5,-115,-1.5,-105,+142,-110,+1.5,-172,-106,8.5,fanduel,STL@LAA,20240513
0,8.5,-110,-1.5,-110,+145,-110,+1.5,-180,-110,8.5,hardrock,STL@LAA,20240513
0,8.5,-110,-1.5,-110,+150,-110,+1.5,-180,-110,8.5,espnbet,STL@LAA,20240513
0,8.5,-115,-1.5,-106,+155,-106,+1.5,-195,-112,8.5,betrivers,STL@LAA,20240513
0,8.5,-108,-1.5,-112,+145,-112,+1.5,-175,-108,8.5,draftkings,STL@LAA,20240513
0,8.5,-115,-1.5,-105,+155,-105,+1.5,-190,-115,8.5,betmgm,TB@BOS,20240513
0,8.5,-120,-1.5,-102,+158,-102,+1.5,-192,-116,8.5,fanduel,TB@BOS,20240513
0,8.5,-120,-1.5,-105,+155,even,+1.5,-195,-120,8.5,hardrock,TB@BOS,20240513
0,8.5,-120,-1.5,even,+160,even,+1.5,-190,-120,8.5,espnbet,TB@BOS,20240513
0,8.5,-117,-1.5,-105,+160,-103,+1.5,-200,-115,8.5,betrivers,TB@BOS,20240513
0,8.5,-118,-1.5,-102,+154,-105,+1.5,-185,-115,8.5,draftkings,TB@BOS,20240513
0,7.5,-115,+1.5,-105,-140,+145,-1.5,+115,-175,7.5,betmgm,TOR@BAL,20240513
0,7.5,-122,+1.5,-100,-150,+150,-1.5,+125,-178,7.5,fanduel,TOR@BAL,20240513
0,7.5,-120,+1.5,even,-145,+145,-1.5,+120,-175,7.5,hardrock,TOR@BAL,20240513
0,7.5,-115,+1.5,-105,-150,+150,-1.5,+125,-175,7.5,espnbet,TOR@BAL,20240513
0,8,-103,+1.5,-120,-157,+145,-1.5,+128,-175,8,betrivers,TOR@BAL,20240513
0,7.5,-115,+1.5,-105,-148,+145,-1.5,+124,-175,7.5,draftkings,TOR@BAL,20240513
0,8.5,-115,-1.5,-105,+125,-135,+1.5,-155,+115,8.5,betmgm,WAS@CHW,20240513
0,8.5,-115,-1.5,-105,+122,-138,+1.5,-146,+118,8.5,fanduel,WAS@CHW,20240513
0,8.5,-120,-1.5,-105,+120,-135,+1.5,-145,+115,8.5,hardrock,WAS@CHW,20240513
0,8.5,-115,-1.5,-105,+125,-135,+1.5,-150,+115,8.5,espnbet,WAS@CHW,20240513
0,8.5,-115,-1.5,-106,+123,-137,+1.5,-150,+118,8.5,betrivers,WAS@CHW,20240513
0,8.5,-115,-1.5,-105,+124,-135,+1.5,-148,+114,8.5,draftkings,WAS@CHW,20240513
